,Event,Site,Date,Round,White,Black,Result,BlackElo,BlackRatingDiff,ECO,Termination,TimeControl,UTCDate,UTCTime,Variant,WhiteElo,WhiteRatingDiff
285,Hourly UltraBullet Arena,https://lichess.org/pNS6NPUr,2021.02.18,?,Morfhy2503,DaenaliaEvandruile,0-1,1090,+37,D10,Time forfeit,15+0,2021.02.18,10:33:10,Standard,1289,-9
286,Hourly UltraBullet Arena,https://lichess.org/vjnc9tSh,2021.02.18,?,DaenaliaEvandruile,cuerdo,0-1,1547,+1,B06,Normal,15+0,2021.02.18,10:32:18,Standard,1094,-4
287,Hourly UltraBullet Arena,https://lichess.org/lzt9H0Qd,2021.02.18,?,Procubillas,DaenaliaEvandruile,1-0,1109,-15,C24,Time forfeit,15+0,2021.02.18,10:31:21,Standard,1254,+4
288,Hourly UltraBullet Arena,https://lichess.org/K6UdqLAw,2021.02.18,?,DaenaliaEvandruile,Jeshurunaluju10,1-0,1104,-6,B00,Abandoned,15+0,2021.02.18,10:30:02,Standard,1080,+29
289,Rated UltraBullet game,https://lichess.org/V5ENFTB3,2021.02.18,?,DaenaliaEvandruile,Ayush336,0-1,1365,+2,C43,Time forfeit,15+0,2021.02.18,10:28:15,Standard,1091,-11
290,Rated UltraBullet game,https://lichess.org/rFVbCUtW,2021.02.18,?,Ayush336,DaenaliaEvandruile,1-0,1103,-12,C43,Normal,15+0,2021.02.18,10:27:33,Standard,1362,+3
291,Rated UltraBullet game,https://lichess.org/zSCloFxp,2021.02.18,?,DaenaliaEvandruile,ardeshiri,0-1,1095,+7,B32,Time forfeit,15+0,2021.02.18,10:26:27,Standard,1141,-38
292,Rated UltraBullet game,https://lichess.org/hAoy3D5t,2021.02.18,?,DaenaliaEvandruile,tunenothing,1-0,1373,-13,C00,Time forfeit,15+0,2021.02.18,10:24:49,Standard,1078,+63
293,Rated UltraBullet game,https://lichess.org/xYsa6VuN,2021.02.18,?,tunenothing,DaenaliaEvandruile,1-0,1092,-14,A00,Time forfeit,15+0,2021.02.18,10:23:12,Standard,1366,+3
294,Rated UltraBullet game,https://lichess.org/UGX8ZBOz,2021.02.18,?,DaenaliaEvandruile,tunenothing,0-1,1363,+3,C00,Time forfeit,15+0,2021.02.18,10:22:12,Standard,1108,-16
295,Rated UltraBullet game,https://lichess.org/9cllORJ8,2021.02.18,?,Tista2010,DaenaliaEvandruile,0-1,1082,+26,C42,Time forfeit,15+0,2021.02.18,10:20:56,Standard,936,-46
296,Rated UltraBullet game,https://lichess.org/1iWtuzas,2021.02.18,?,ozdmrarda2007,DaenaliaEvandruile,1-0,1095,-13,C43,Time forfeit,15+0,2021.02.18,10:19:19,Standard,1428,+4
297,Rated UltraBullet game,https://lichess.org/gx39fIOx,2021.02.18,?,DaenaliaEvandruile,Bernd1981,1-0,932,-68,C40,Time forfeit,15+0,2021.02.18,10:18:15,Standard,1065,+30
298,Rated UltraBullet game,https://lichess.org/flmVQ4LY,2021.02.18,?,DaenaliaEvandruile,Hard-Defender,0-1,1538,+1,C00,Time forfeit,15+0,2021.02.18,10:17:25,Standard,1073,-8
299,Rated UltraBullet game,https://lichess.org/XOLQPwOg,2021.02.18,?,alirezaSalmany354,DaenaliaEvandruile,1-0,1096,-23,A41,Time forfeit,15+0,2021.02.18,10:16:20,Standard,1351,+2
300,Rated UltraBullet game,https://lichess.org/lLVUEfPp,2021.02.18,?,alambrozini,DaenaliaEvandruile,1-0,1122,-26,A04,Time forfeit,15+0,2021.02.18,10:15:19,Standard,1378,+3
301,Rated UltraBullet game,https://lichess.org/G8dfBaqS,2021.02.18,?,DaenaliaEvandruile,NichtTony,0-1,1289,+99,B50,Time forfeit,15+0,2021.02.18,10:14:23,Standard,1165,-43
302,Rated UltraBullet game,https://lichess.org/m0A3YU7k,2021.02.18,?,defkalion,DaenaliaEvandruile,0-1,1116,+49,C42,Time forfeit,15+0,2021.02.18,10:13:27,Standard,947,-3
303,Rated UltraBullet game,https://lichess.org/v2dTHI9J,2021.02.18,?,DaenaliaEvandruile,tunenothing,0-1,1364,+4,C00,Time forfeit,15+0,2021.02.18,10:12:24,Standard,1172,-56
304,Rated UltraBullet game,https://lichess.org/1k1zagb8,2021.02.18,?,tunenothing,DaenaliaEvandruile,1-0,1287,-115,A00,Time forfeit,15+0,2021.02.18,10:11:19,Standard,1358,+6
305,Rated UltraBullet game,https://lichess.org/fWXCrFwk,2021.02.18,?,DaenaliaEvandruile,pietyo,0-1,1535,+3,A06,Time forfeit,15+0,2021.02.18,10:10:22,Standard,1500,-213
306,Rated Bullet game,https://lichess.org/oR7EkyWP,2021.02.18,?,visokos,DaenaliaEvandruile,0-1,1205,+6,C43,Time forfeit,60+0,2021.02.18,09:28:13,Standard,1223,-6
307,Rated Rapid game,https://lichess.org/j5lrqSuC,2021.02.18,?,DaenaliaEvandruile,Aqif-Hakimi_08,1-0,1122,-31,B01,Normal,600+0,2021.02.18,09:16:16,Standard,1084,+18
308,Rated Rapid game,https://lichess.org/ip0rwzmZ,2021.02.18,?,elia_b,DaenaliaEvandruile,1/2-1/2,1085,-1,C41,Normal,600+0,2021.02.18,08:03:11,Standard,1071,+0
309,Rated Rapid game,https://lichess.org/3s7wmXWd,2021.02.18,?,DaenaliaEvandruile,FXcoder,0-1,990,+10,C42,Normal,600+0,2021.02.18,07:43:01,Standard,1107,-22
310,Rated Rapid game,https://lichess.org/G5GYsBHb,2021.02.18,?,DaenaliaEvandruile,Goldenk496,0-1,1087,+13,C40,Normal,600+0,2021.02.18,07:25:19,Standard,1126,-19
311,Rated Bullet game,https://lichess.org/APlPrEDh,2021.02.17,?,Mawaleba,DaenaliaEvandruile,1/2-1/2,1204,+1,A40,Time forfeit,60+0,2021.02.17,13:58:37,Standard,1237,-1
312,Rated Bullet game,https://lichess.org/wsJE6PbX,2021.02.17,?,Gana7920,DaenaliaEvandruile,1-0,1210,-6,D02,Normal,60+0,2021.02.17,13:56:09,Standard,1203,+6
313,Rated Rapid game,https://lichess.org/fY9xYXiK,2021.02.17,?,DaenaliaEvandruile,Ga11ahad,1-0,1150,-7,C10,Normal,600+0,2021.02.17,12:19:36,Standard,1104,+22
314,Rated Rapid game,https://lichess.org/8lrTkkiM,2021.02.17,?,ABHIJIT33,DaenaliaEvandruile,0-1,1083,+21,A00,Normal,600+0,2021.02.17,12:17:48,Standard,1074,-6
315,Rated Rapid game,https://lichess.org/qi6h0nkk,2021.02.17,?,igortefunde,DaenaliaEvandruile,1-0,1103,-20,D00,Normal,600+0,2021.02.17,12:02:14,Standard,1111,+6
316,Rated Rapid game,https://lichess.org/hP4t5Sa8,2021.02.17,?,DaenaliaEvandruile,igortefunde,0-1,1104,+7,B01,Normal,600+0,2021.02.17,11:54:46,Standard,1127,-24
317,Rated Rapid game,https://lichess.org/I068Sb5u,2021.02.17,?,Udoattar,DaenaliaEvandruile,1-0,1150,-23,D02,Normal,600+0,2021.02.17,11:48:39,Standard,1148,+6
318,Rated Rapid game,https://lichess.org/u6eEcLDI,2021.02.17,?,DaenaliaEvandruile,Marc_Armour,0-1,1235,+5,B15,Time forfeit,600+0,2021.02.17,11:24:54,Standard,1170,-20
319,Rated Bullet game,https://lichess.org/uCa0jPNR,2021.02.17,?,DaenaliaEvandruile,gitlis,1-0,1162,-30,C45,Time forfeit,60+0,2021.02.17,04:47:58,Standard,1205,+5
320,Rated Bullet game,https://lichess.org/PnqsJ3xl,2021.02.16,?,DaenaliaEvandruile,Deon48,1-0,1160,-5,C50,Time forfeit,60+0,2021.02.16,14:19:25,Standard,1200,+5
321,Rated Bullet game,https://lichess.org/EgEi904Y,2021.02.16,?,AbdullaevRuslan,DaenaliaEvandruile,1-0,1205,-5,C42,Time forfeit,60+0,2021.02.16,14:16:35,Standard,1254,+12
322,Rated Bullet game,https://lichess.org/2Le1Belc,2021.02.15,?,kazDeyna,DaenaliaEvandruile,0-1,1200,+5,A40,Time forfeit,60+0,2021.02.15,14:09:58,Standard,1135,-4
323,Rated Bullet game,https://lichess.org/3fIML2A6,2021.02.15,?,DaenaliaEvandruile,IAmpro13,0-1,1258,+5,C00,Time forfeit,60+0,2021.02.15,14:06:38,Standard,1205,-5
324,Rated Bullet game,https://lichess.org/Gr0GCDGo,2021.02.15,?,DaenaliaEvandruile,hfhdhdhdhdhdhdhhhd,0-1,1222,+6,C57,Normal,60+0,2021.02.15,14:04:29,Standard,1210,-5
325,Rated Bullet game,https://lichess.org/LzrpPtln,2021.02.15,?,aurasbjj,DaenaliaEvandruile,1-0,1216,-6,C24,Time forfeit,60+0,2021.02.15,14:01:45,Standard,1219,+6
326,Rated Bullet game,https://lichess.org/a41j4EB8,2021.02.15,?,nekesa,DaenaliaEvandruile,0-1,1211,+5,C42,Time forfeit,60+0,2021.02.15,13:59:23,Standard,1185,-5
327,Rated Bullet game,https://lichess.org/rmyd5pzq,2021.02.15,?,DaenaliaEvandruile,therealdealoneezy,1-0,1214,-5,B40,Time forfeit,60+0,2021.02.15,08:05:22,Standard,1204,+7
328,Casual Bullet game,https://lichess.org/MD7QsMUk,2021.02.15,?,PlatonicSolids,DaenaliaEvandruile,1-0,1204,,C26,Time forfeit,60+0,2021.02.15,07:57:14,Standard,1610,
329,Casual Bullet game,https://lichess.org/Y2Kl6oHE,2021.02.15,?,DaenaliaEvandruile,PlatonicSolids,0-1,1610,,C45,Time forfeit,60+0,2021.02.15,07:54:20,Standard,1204,
330,Casual Bullet game,https://lichess.org/nlt79Aub,2021.02.14,?,DaenaliaEvandruile,PolynomialTime,1-0,1235,,C42,Time forfeit,60+0,2021.02.14,15:00:49,Standard,1204,
331,Casual Bullet game,https://lichess.org/V0emnSob,2021.02.14,?,PolynomialTime,DaenaliaEvandruile,1-0,1204,,D00,Normal,60+0,2021.02.14,14:57:30,Standard,1235,
332,Casual Bullet game,https://lichess.org/i8ZJ6KFr,2021.02.14,?,DaenaliaEvandruile,PolynomialTime,1-0,1235,,C40,Normal,60+0,2021.02.14,14:55:15,Standard,1204,
333,Casual Bullet game,https://lichess.org/Ky49DI6p,2021.02.14,?,PolynomialTime,DaenaliaEvandruile,0-1,1204,,A02,Time forfeit,60+0,2021.02.14,14:52:24,Standard,1235,
334,Casual Bullet game,https://lichess.org/uesHF1i3,2021.02.14,?,DaenaliaEvandruile,PolynomialTime,0-1,1235,,B06,Time forfeit,60+0,2021.02.14,14:49:10,Standard,1204,
335,Casual Bullet game,https://lichess.org/1QCEibIz,2021.02.14,?,PolynomialTime,DaenaliaEvandruile,0-1,1204,,A40,Time forfeit,60+0,2021.02.14,14:46:20,Standard,1235,
336,Casual Bullet game,https://lichess.org/UzML4NOZ,2021.02.14,?,DaenaliaEvandruile,PolynomialTime,0-1,1235,,A00,Time forfeit,60+0,2021.02.14,14:43:08,Standard,1204,
337,Casual Bullet game,https://lichess.org/JbUJTVuh,2021.02.14,?,PolynomialTime,DaenaliaEvandruile,1-0,1204,,A41,Normal,60+0,2021.02.14,14:39:57,Standard,1235,
338,Casual Bullet game,https://lichess.org/88yT5zOC,2021.02.14,?,DaenaliaEvandruile,PolynomialTime,0-1,1235,,C55,Time forfeit,60+0,2021.02.14,14:36:25,Standard,1204,
339,Casual Bullet game,https://lichess.org/JNhu3qx1,2021.02.14,?,PolynomialTime,DaenaliaEvandruile,0-1,1204,,A41,Time forfeit,60+0,2021.02.14,14:33:20,Standard,1235,
340,Casual Bullet game,https://lichess.org/wcppwf2E,2021.02.14,?,DaenaliaEvandruile,PolynomialTime,0-1,1235,,C40,Normal,60+0,2021.02.14,14:32:11,Standard,1204,
341,Casual Bullet game,https://lichess.org/zyLblCUO,2021.02.14,?,PolynomialTime,DaenaliaEvandruile,1-0,1204,,A41,Time forfeit,60+0,2021.02.14,14:28:51,Standard,1235,
342,Rated Bullet game,https://lichess.org/ZIEU0C0h,2021.02.14,?,AlmightyDj,DaenaliaEvandruile,0-1,1199,+5,A50,Time forfeit,60+0,2021.02.14,14:25:27,Standard,1181,-5
343,Rated Bullet game,https://lichess.org/edeU4YVN,2021.02.14,?,Chris46,DaenaliaEvandruile,0-1,1193,+6,C25,Time forfeit,60+0,2021.02.14,14:22:54,Standard,1217,-6
344,Rated Bullet game,https://lichess.org/vqGGQvZy,2021.02.14,?,DaenaliaEvandruile,MikiMikele,1-0,1196,-6,B00,Time forfeit,60+0,2021.02.14,12:22:01,Standard,1187,+6
345,Rated Bullet game,https://lichess.org/L1wYaFGp,2021.02.14,?,CaferKose,DaenaliaEvandruile,1-0,1192,-5,C42,Time forfeit,60+0,2021.02.14,12:19:26,Standard,1230,+5
346,Rated Bullet game,https://lichess.org/FhaNvNBM,2021.02.14,?,DaenaliaEvandruile,goomboa,1-0,1166,-13,C43,Normal,60+0,2021.02.14,12:18:01,Standard,1187,+5
347,Rated Bullet game,https://lichess.org/RDUxnv8f,2021.02.14,?,DaenaliaEvandruile,MiszczPodrywu,1-0,1084,-60,C40,Time forfeit,60+0,2021.02.14,12:16:13,Standard,1183,+4
348,Rated Bullet game,https://lichess.org/kuQ4rMs8,2021.02.14,?,DaenaliaEvandruile,DreiPunktSieben,1-0,1062,-12,B01,Normal,60+0,2021.02.14,12:14:26,Standard,1179,+4
349,Rated Bullet game,https://lichess.org/vsrreGHb,2021.02.14,?,vittox11,DaenaliaEvandruile,1/2-1/2,1180,-1,A00,Normal,60+0,2021.02.14,12:12:13,Standard,1129,+1
350,Rated Bullet game,https://lichess.org/PACShlsF,2021.02.14,?,DaenaliaEvandruile,TR_Kaan,1-0,1184,-5,B00,Time forfeit,60+0,2021.02.14,11:53:38,Standard,1174,+6
351,Rated Bullet game,https://lichess.org/kAmTu7Th,2021.02.14,?,A1977B,DaenaliaEvandruile,1-0,1179,-5,C42,Time forfeit,60+0,2021.02.14,11:51:00,Standard,1187,+6
352,Rated Bullet game,https://lichess.org/dXjAwbIB,2021.02.14,?,DaenaliaEvandruile,Vasya_D,0-1,1240,+6,C44,Normal,60+0,2021.02.14,11:48:55,Standard,1184,-5
353,Rated Bullet game,https://lichess.org/bDwysW5S,2021.02.14,?,Ika98,DaenaliaEvandruile,1-0,1190,-6,A41,Normal,60+0,2021.02.14,11:46:57,Standard,1152,+6
354,Rated Bullet game,https://lichess.org/PUDsP1dx,2021.02.14,?,DaenaliaEvandruile,captainomer,0-1,1291,+7,C00,Time forfeit,60+0,2021.02.14,11:44:30,Standard,1194,-4
355,Rated Bullet game,https://lichess.org/ROn1wF9C,2021.02.14,?,Flamangeauw,DaenaliaEvandruile,0-1,1189,+5,A00,Normal,60+0,2021.02.14,11:42:51,Standard,1164,-6
356,Rated Bullet game,https://lichess.org/2BxVvpKi,2021.02.14,?,zaca2001,DaenaliaEvandruile,0-1,1184,+5,C42,Time forfeit,60+0,2021.02.14,11:40:20,Standard,1120,-4
357,Rated Bullet game,https://lichess.org/JTSG8Mvj,2021.02.14,?,faust3875,DaenaliaEvandruile,1-0,1191,-7,C24,Time forfeit,60+0,2021.02.14,11:37:58,Standard,1149,+7
358,Rated Bullet game,https://lichess.org/NjKG8f0m,2021.02.14,?,M108S,DaenaliaEvandruile,1-0,1196,-5,C20,Time forfeit,60+0,2021.02.14,09:10:57,Standard,1189,+6
359,Rated Bullet game,https://lichess.org/nBM610GM,2021.02.14,?,DaenaliaEvandruile,M108S,1-0,1195,-6,B06,Time forfeit,60+0,2021.02.14,09:08:21,Standard,1191,+5
360,Rated Bullet game,https://lichess.org/wwDJYAfH,2021.02.14,?,DaenaliaEvandruile,shrekfiona,1-0,1129,-4,C44,Time forfeit,60+0,2021.02.14,09:04:38,Standard,1186,+5
361,Rated Bullet game,https://lichess.org/HboHXoY6,2021.02.14,?,DaenaliaEvandruile,factlol,1-0,1247,-6,C45,Time forfeit,60+0,2021.02.14,09:02:07,Standard,1179,+7
362,Rated Bullet game,https://lichess.org/Q9heLDu8,2021.02.14,?,neexa,DaenaliaEvandruile,0-1,1172,+7,C20,Time forfeit,60+0,2021.02.14,08:59:34,Standard,1241,-7
363,Rated Bullet game,https://lichess.org/fjDtDEAN,2021.02.14,?,DaenaliaEvandruile,Duchess12X,1-0,1129,-5,B40,Time forfeit,60+0,2021.02.14,08:36:10,Standard,1167,+5
364,Rated Bullet game,https://lichess.org/MzgphVX1,2021.02.14,?,shpionka,DaenaliaEvandruile,1-0,1173,-6,C42,Normal,60+0,2021.02.14,08:34:14,Standard,1161,+6
365,Rated Bullet game,https://lichess.org/1u2csH7Z,2021.02.14,?,DaenaliaEvandruile,shpionka,0-1,1155,+6,B30,Normal,60+0,2021.02.14,08:32:34,Standard,1179,-6
366,Rated Bullet game,https://lichess.org/ApR8GdkU,2021.02.14,?,AnomicalX,DaenaliaEvandruile,1-0,1184,-5,C42,Time forfeit,60+0,2021.02.14,08:29:50,Standard,1198,+6
367,Rated Bullet game,https://lichess.org/tmcn8ZVI,2021.02.14,?,Antolikolikopolis,DaenaliaEvandruile,1-0,1190,-6,C20,Time forfeit,60+0,2021.02.14,08:27:13,Standard,1196,+6
368,Rated Bullet game,https://lichess.org/ciY1En9U,2021.02.14,?,MertCani,DaenaliaEvandruile,1-0,1195,-5,A41,Normal,60+0,2021.02.14,08:21:44,Standard,1218,+5
369,Rated Bullet game,https://lichess.org/3KWwwouK,2021.02.14,?,DaenaliaEvandruile,K-e-y-0-9,1-0,1149,-5,C40,Time forfeit,60+0,2021.02.14,07:51:37,Standard,1190,+5
370,Rated Bullet game,https://lichess.org/76Oq9afk,2021.02.14,?,Kidron,DaenaliaEvandruile,1-0,1195,-5,A09,Time forfeit,60+0,2021.02.14,07:12:47,Standard,1232,+5
371,Rated Bullet game,https://lichess.org/6THf89SP,2021.02.14,?,DaenaliaEvandruile,Meftunefendi,0-1,1199,+6,C45,Normal,60+0,2021.02.14,07:10:25,Standard,1201,-6
372,Rated Bullet game,https://lichess.org/mA9jT0Ui,2021.02.14,?,DaenaliaEvandruile,PianoForte88,0-1,1268,+5,B32,Normal,60+0,2021.02.14,07:07:37,Standard,1205,-4
373,Rated Bullet game,https://lichess.org/ChgPJIhV,2021.02.14,?,acedeucy,DaenaliaEvandruile,0-1,1200,+5,A41,Time forfeit,60+0,2021.02.14,06:46:45,Standard,1167,-5
374,Rated Bullet game,https://lichess.org/YZuc17uS,2021.02.13,?,DaenaliaEvandruile,j4syth,1-0,1234,-7,C00,Time forfeit,60+0,2021.02.13,14:55:48,Standard,1194,+6
375,Rated Bullet game,https://lichess.org/EwNLblWL,2021.02.13,?,feb04,DaenaliaEvandruile,1-0,1199,-5,A00,Time forfeit,60+0,2021.02.13,14:53:02,Standard,1207,+6
376,Rated Bullet game,https://lichess.org/EeLmIMpx,2021.02.13,?,DaenaliaEvandruile,fcknErnst,1-0,1205,-6,A06,Normal,60+0,2021.02.13,14:51:22,Standard,1193,+6
377,Rated Bullet game,https://lichess.org/UPbZeZj8,2021.02.13,?,Amoda,DaenaliaEvandruile,1-0,1199,-6,C42,Time forfeit,60+0,2021.02.13,14:48:47,Standard,1182,+6
378,Rated Bullet game,https://lichess.org/vAnqSkjO,2021.02.13,?,DaenaliaEvandruile,Krazzzzy,0-1,1205,+6,A06,Time forfeit,60+0,2021.02.13,14:46:06,Standard,1205,-6
379,Rated Bullet game,https://lichess.org/JNChAq35,2021.02.13,?,DaenaliaEvandruile,mafriend88,1-0,1220,-6,C42,Time forfeit,60+0,2021.02.13,14:44:06,Standard,1199,+6
380,Rated Bullet game,https://lichess.org/OoKCmyHY,2021.02.13,?,cuneday,DaenaliaEvandruile,0-1,1193,+6,C42,Normal,60+0,2021.02.13,14:41:41,Standard,1204,-8
381,Rated Bullet game,https://lichess.org/1yPsyPsH,2021.02.13,?,DaenaliaEvandruile,tarrsalah,1-0,1243,-6,C44,Time forfeit,60+0,2021.02.13,14:39:34,Standard,1186,+7
382,Rated Bullet game,https://lichess.org/ilZ5YE1b,2021.02.13,?,Ajaysahoo_1,DaenaliaEvandruile,0-1,1180,+6,C42,Time forfeit,60+0,2021.02.13,14:36:53,Standard,1190,-6
383,Rated Bullet game,https://lichess.org/1sRAlDQ3,2021.02.13,?,RemziAsln,DaenaliaEvandruile,0-1,1175,+5,C42,Time forfeit,60+0,2021.02.13,14:34:34,Standard,1150,-6
384,Rated Bullet game,https://lichess.org/YVisyeKv,2021.02.13,?,DaenaliaEvandruile,dicotomie,0-1,1176,+6,C00,Normal,60+0,2021.02.13,14:32:38,Standard,1180,-5
385,Rated Bullet game,https://lichess.org/76WawCOP,2021.02.13,?,DaenaliaEvandruile,mustafa_akgul,0-1,1220,+26,C40,Time forfeit,60+0,2021.02.13,14:29:35,Standard,1185,-5
386,Rated Bullet game,https://lichess.org/2cAhJXDF,2021.02.13,?,MikiMikele,DaenaliaEvandruile,0-1,1180,+5,A00,Time forfeit,60+0,2021.02.13,14:27:08,Standard,1176,-5
387,Rated Bullet game,https://lichess.org/XToKezGP,2021.02.13,?,DaenaliaEvandruile,EinSeelachs,1-0,1100,-9,C40,Normal,60+0,2021.02.13,14:24:49,Standard,1175,+5
388,Rated Blitz game,https://lichess.org/Jn804uir,2021.02.13,?,AKINCI1223,DaenaliaEvandruile,0-1,994,+7,A41,Normal,180+0,2021.02.13,14:21:17,Standard,1032,-7
389,Rated Blitz game,https://lichess.org/mgVXwYKF,2021.02.13,?,DaenaliaEvandruile,gbd2,0-1,1095,+4,C40,Normal,180+0,2021.02.13,14:15:20,Standard,998,-4
390,Rated Blitz game,https://lichess.org/vTOqXA5o,2021.02.13,?,DaenaliaEvandruile,koksal71,1-0,1136,-8,A05,Normal,180+0,2021.02.13,14:08:56,Standard,990,+8
391,Rated Blitz game,https://lichess.org/vhzgUGzF,2021.02.13,?,taipei102,DaenaliaEvandruile,0-1,983,+7,A40,Time forfeit,180+0,2021.02.13,14:03:13,Standard,996,-8
392,Rated Blitz game,https://lichess.org/rzYQABju,2021.02.13,?,lolcheckm8,DaenaliaEvandruile,1/2-1/2,984,-1,C20,Normal,180+0,2021.02.13,13:56:16,Standard,938,+1
393,Rated Blitz game,https://lichess.org/NibHMw0b,2021.02.13,?,DaenaliaEvandruile,midyeciahmet,1/2-1/2,977,+0,C41,Time forfeit,180+0,2021.02.13,13:47:59,Standard,984,+0
394,Rated Blitz game,https://lichess.org/viDq8FUp,2021.02.13,?,DaenaliaEvandruile,AlanKrupa,0-1,1048,+15,C42,Normal,180+0,2021.02.13,10:53:11,Standard,989,-5
395,Rated Blitz game,https://lichess.org/JQEL4air,2021.02.13,?,DaenaliaEvandruile,schas7,0-1,939,+6,B01,Time forfeit,180+0,2021.02.13,09:43:02,Standard,997,-8
396,Rated Blitz game,https://lichess.org/4ggo3eZ8,2021.02.13,?,Nir_Kedem,DaenaliaEvandruile,1-0,1003,-6,C41,Normal,180+0,2021.02.13,09:37:48,Standard,1060,+5
397,Rated Bullet game,https://lichess.org/lYf028xK,2021.02.13,?,yusuf_Eren38,DaenaliaEvandruile,0-1,1168,+7,C20,Normal,60+0,2021.02.13,09:36:10,Standard,1243,-7
398,Rated Bullet game,https://lichess.org/XwQdu7Ym,2021.02.13,?,surajvegesna,DaenaliaEvandruile,0-1,1164,+4,D30,Time forfeit,60+0,2021.02.13,09:33:40,Standard,1074,-4
399,Rated Bullet game,https://lichess.org/98Im9UT0,2021.02.13,?,DaenaliaEvandruile,karipidis,0-1,1133,+32,C45,Time forfeit,60+0,2021.02.13,09:31:20,Standard,1170,-6
400,Rated Bullet game,https://lichess.org/duRmLq8v,2021.02.13,?,DaenaliaEvandruile,Guenavo,0-1,1199,+5,A06,Time forfeit,60+0,2021.02.13,07:59:52,Standard,1175,-5
401,Rated Bullet game,https://lichess.org/WFjj048n,2021.02.13,?,Joker202O,DaenaliaEvandruile,0-1,1170,+5,C42,Time forfeit,60+0,2021.02.13,07:57:30,Standard,1147,-6
402,Casual Blitz game,https://lichess.org/dCirrWgH,2021.02.13,?,PolynomialTime,DaenaliaEvandruile,0-1,1003,,A41,Time forfeit,180+0,2021.02.13,02:51:19,Standard,1160,
403,Casual Blitz game,https://lichess.org/KLZJc9kG,2021.02.13,?,DaenaliaEvandruile,PolynomialTime,1-0,1160,,A00,Normal,180+0,2021.02.13,02:46:59,Standard,1003,
404,Rated Bullet game,https://lichess.org/r0aKshat,2021.02.13,?,Mondainai,DaenaliaEvandruile,0-1,1165,+5,A41,Normal,60+0,2021.02.13,00:19:13,Standard,1116,-5
405,Rated Bullet game,https://lichess.org/HSLeDEHN,2021.02.13,?,DaenaliaEvandruile,enegebe,1-0,1093,-4,C40,Time forfeit,60+0,2021.02.13,00:16:59,Standard,1160,+5
406,Rated Bullet game,https://lichess.org/9b2cwIkz,2021.02.13,?,DaenaliaEvandruile,Julian747,0-1,1223,+10,C43,Normal,60+0,2021.02.13,00:16:12,Standard,1165,-5
407,Rated Bullet game,https://lichess.org/FtQOXWqK,2021.02.13,?,DaenaliaEvandruile,joshwhite1999,1-0,1153,-14,B00,Time forfeit,60+0,2021.02.13,00:12:49,Standard,1159,+6
408,Rated Bullet game,https://lichess.org/Sezixbae,2021.02.13,?,CatholicChess,DaenaliaEvandruile,1-0,1164,-5,A34,Time forfeit,60+0,2021.02.13,00:10:00,Standard,1218,+5
409,Rated Bullet game,https://lichess.org/YRQKhx5B,2021.02.13,?,Unnamed369,DaenaliaEvandruile,1-0,1170,-6,C42,Normal,60+0,2021.02.13,00:07:43,Standard,1157,+7
410,Rated Bullet game,https://lichess.org/f6e3Z84C,2021.02.13,?,jozze,DaenaliaEvandruile,1-0,1175,-5,A00,Normal,60+0,2021.02.13,00:06:17,Standard,1190,+5
411,Rated Bullet game,https://lichess.org/oia4Cfzi,2021.02.13,?,DaenaliaEvandruile,Picasso6158,1-0,1151,-5,C44,Time forfeit,60+0,2021.02.13,00:03:31,Standard,1170,+5
412,Rated Bullet game,https://lichess.org/OlcpJKw5,2021.02.13,?,Mooo0,DaenaliaEvandruile,1-0,1175,-5,A41,Normal,60+0,2021.02.13,00:02:10,Standard,1179,+6
413,Rated Bullet game,https://lichess.org/52OeIoUR,2021.02.13,?,Dudehond,DaenaliaEvandruile,0-1,1171,+4,C42,Time forfeit,60+0,2021.02.13,00:00:02,Standard,1105,-35
414,Rated Bullet game,https://lichess.org/rjCHThyB,2021.02.12,?,DaenaliaEvandruile,machnik8,0-1,1167,+24,C43,Time forfeit,60+0,2021.02.12,23:57:17,Standard,1176,-5
415,Rated Bullet game,https://lichess.org/rqGc7ZqO,2021.02.12,?,DaenaliaEvandruile,Fer_GuzmanB,1-0,1123,-5,B00,Time forfeit,60+0,2021.02.12,15:05:33,Standard,1171,+5
416,Rated Bullet game,https://lichess.org/lK6Fr9Gv,2021.02.12,?,DaenaliaEvandruile,serpresente,0-1,1214,+5,C44,Normal,60+0,2021.02.12,15:03:54,Standard,1177,-6
417,Rated Bullet game,https://lichess.org/ZvvzAiUF,2021.02.12,?,DaenaliaEvandruile,ozaybulba,0-1,1180,+6,A06,Time forfeit,60+0,2021.02.12,15:01:15,Standard,1182,-5
418,Rated Bullet game,https://lichess.org/Q4VDyII2,2021.02.12,?,RaggedStar,DaenaliaEvandruile,0-1,1175,+7,A00,Time forfeit,60+0,2021.02.12,14:58:36,Standard,1257,-7
419,Rated Bullet game,https://lichess.org/sjDAEOwg,2021.02.12,?,DaenaliaEvandruile,TheoKushi123,1-0,1168,-6,C43,Normal,60+0,2021.02.12,14:56:06,Standard,1169,+6
420,Rated Bullet game,https://lichess.org/EpmzmVAd,2021.02.12,?,BKF_Julio,DaenaliaEvandruile,1-0,1175,-6,A04,Normal,60+0,2021.02.12,14:53:25,Standard,1187,+6
421,Rated Bullet game,https://lichess.org/JFEJKu98,2021.02.12,?,Dstar10,DaenaliaEvandruile,1-0,1179,-4,C42,Normal,60+0,2021.02.12,14:51:06,Standard,1255,+5
